Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label
4.910355806350708,131937.89320971424,25.049101297490598,123,647862,25.049101297490598,0,123,502,123,ATTACK
2.7441327571868896,196.78348235366485,3.2797247058944143,9,540,3.2797247058944143,0,9,250,9,ATTACK
3.890099287033081,344.4642157249404,5.141256951118513,20,1340,5.141256951118513,1,20,65535,0,ATTACK
4.718903303146362,491.2158294183433,4.450186547793447,21,2318,4.450186547793447,0,21,615,21,ATTACK
4.964191913604736,199.42822864821795,3.0216398280033023,15,990,3.0216398280033023,0,15,53248,0,ATTACK
4.98465371131897,8129.752305156039,123.17806522963696,614,40524,123.17806522963696,0,614,53248,0,ATTACK
4.072832107543945,307.8938603133838,4.665058489596724,19,1254,4.665058489596724,0,19,53248,0,ATTACK
4.37774395942688,316.60143051889463,4.796991371498404,21,1386,4.796991371498404,0,21,53248,0,ATTACK
3.0316994190216064,57.39355257591912,0.98954400992964,3,174,0.98954400992964,3,3,65535,0,ATTACK
4.84452223777771,297.2429332186449,4.541211479729297,22,1440,4.541211479729297,0,21,53248,0,ATTACK
2.717578649520874,194.29060501821712,2.9437970457305624,8,528,2.9437970457305624,0,8,53248,0,ATTACK
1.3495028018951416,2110.4068817052325,17.784327654819375,24,2848,17.784327654819375,0,24,547,24,ATTACK
3.0116312503814697,57.77599763515544,0.9961378902613006,3,174,0.9961378902613006,3,3,65535,0,ATTACK
4.556656837463379,174.250558758778,1.53621399409502,7,794,1.53621399409502,0,7,547,7,ATTACK
4.971817255020142,132071.62820334593,27.7564505937258,138,656636,27.7564505937258,0,138,502,138,ATTACK
4.004978179931641,296.6308295892582,4.494406508928154,18,1188,4.494406508928154,0,18,53248,0,ATTACK
2.982426404953003,58.34175814398407,1.005892381792829,3,174,1.005892381792829,3,3,65535,0,ATTACK
4.823029279708862,246.31822265688436,3.7320942826800656,18,1188,3.7320942826800656,0,18,53248,0,ATTACK
2.679011821746826,89.58527097633713,1.4930878496056188,4,240,1.4930878496056188,0,4,251,4,ATTACK
3.592965602874756,257.16917502931324,3.8965026519592914,14,924,3.8965026519592914,0,14,53248,0,ATTACK
4.269487142562866,781.3584837258657,6.558164731512062,28,3336,6.558164731512062,0,28,615,28,ATTACK
3.512968063354492,240.8220014366326,3.700574490161021,13,846,3.700574490161021,0,12,53248,0,ATTACK
4.971004247665405,5938.437894890926,98.97396491484876,492,29520,98.97396491484876,492,0,512,492,ATTACK
3.059195280075073,56.87770281723565,0.9806500485730284,3,174,0.9806500485730284,3,3,65535,0,ATTACK
3.0041279792785645,57.92030206442329,0.9986258976624705,3,174,0.9986258976624705,3,3,65535,0,ATTACK
2.836589097976685,372.2781000439,5.640577273392423,16,1056,5.640577273392423,0,16,53248,0,ATTACK
4.8877434730529785,116632.55306725894,25.983360358450515,127,570070,25.983360358450515,0,127,502,127,ATTACK
3.359130859375,64.8977396613126,0.8930881604767789,3,218,0.8930881604767789,0,3,53248,0,ATTACK
1.1643364429473877,99924.72597137225,24.0480319667064,28,116346,24.0480319667064,4,24,502,24,ATTACK
1.4869964122772217,277.0685904810311,4.034979473024724,6,412,4.034979473024724,2,6,65535,0,ATTACK
